1629,1630,72
1629,1822,109
1629,2509,0
1629,2510,72
1630,1629,72
1630,1881,114
1630,2509,72
1630,2510,0
1632,1782,98
1632,2512,0
1633,2032,103
1633,2513,0
1634,1786,90
1634,2514,0
1635,2002,150
1637,1687,110
1637,1895,106
1637,2497,96
1637,2517,0
1638,1897,101
1638,2518,0
1639,1696,143
1639,2519,0
1640,1997,96
1640,2520,0
1641,2017,90
1641,2521,0
1642,1892,108
1642,2522,0
1644,1974,90
1644,2524,0
1645,1763,90
1645,1996,110
1645,2409,90
1645,2525,0
1646,1667,98
1646,2526,0
1647,1766,113
1647,1767,120
1647,1844,112
1647,2376,130
1647,2377,130
1647,2527,0
1647,967988,180
1647,967989,180
1647,3343777,180
1647,3343778,180
1648,1685,110
1648,1793,126
1648,1794,112
1648,2403,129
1648,2404,116
1648,2528,0
1649,2020,97
1649,2529,0
1651,1832,136
1651,1833,176
1651,1834,200
1651,2014,131
1651,2338,138
1651,2339,200
1651,2371,166
1651,2531,0
1653,1845,91
1653,1977,90
1653,2312,80
1653,2533,0
1655,1883,180
1655,2033,90
1655,2279,187
1655,2535,0
1656,1888,145
1656,2009,150
1656,2536,0
1657,1916,143
1657,1926,90
1657,2241,133
1657,2537,0
1657,3343755,180
1657,3343756,180
1659,1950,61
1659,2205,107
1659,2539,0
1661,1927,120
1661,2541,0
1662,2007,98
1662,2542,0
1665,2016,112
1665,2475,0
1666,1667,65
1666,1867,113
1666,2476,0
1666,2477,67
1667,1666,65
1667,1710,96
1667,2476,99
1667,2477,0
1668,1655,93
1668,1742,30
1668,2478,0
1669,2052,90
1669,2479,0
1674,1675,111
1674,1676,236
1674,1910,123
1674,2484,0
1674,2485,116
1674,2486,234
1675,1674,111
1675,1676,110
1675,1958,185
1675,2484,120
1675,2485,0
1675,2486,104
1676,1674,236
1676,1675,110
1676,1860,110
1676,2484,247
1676,2485,127
1676,2486,0
1677,1678,105
1677,1764,97
1677,2487,0
1677,2488,63
1677,3343775,180
1677,3343776,180
1678,1647,130
1678,1677,105
1678,2487,119
1678,2488,0
1678,3343775,180
1678,3343776,180
1681,1907,147
1681,2491,0
1682,1798,90
1682,2492,0
1683,2050,90
1683,2493,0
1684,2029,117
1684,2494,0
1685,1876,123
1685,2495,0
1686,1841,107
1686,2496,0
1687,1637,110
1687,2073,93
1687,2497,0
1687,2517,96
1688,1980,101
1688,2498,0
1690,1666,102
1690,2500,0
1691,1632,104
1691,2501,0
1692,1645,113
1692,2502,0
1694,1736,159
1694,2504,0
1695,2505,0
1696,1695,170
1696,2506,0
1698,1955,132
1698,2443,0
1698,3343791,180
1698,3343792,180
1700,2008,99
1700,2445,0
1702,1712,103
1702,2447,0
1702,3343769,180
1702,3343770,180
1703,1676,112
1703,2448,0
1704,1993,140
1704,2449,0
1707,1629,112
1707,2452,0
1708,1637,123
1708,2453,0
1709,1651,114
1709,2454,0
1710,1669,106
1710,2455,0
1712,2001,93
1712,2457,0
1712,3343771,180
1712,3343772,180
1714,1633,103
1714,2459,0
1715,1722,480
1715,1723,480
1715,1724,480
1715,1890,134
1715,2460,0
1715,2467,480
1715,2468,480
1715,2469,480
1715,1166840,140
1715,1166841,140
1716,2461,0
1716,140078,159
1717,1716,141
1717,2462,0
1718,1783,90
1718,2463,0
1719,1638,103
1719,2464,0
1720,1792,108
1720,2465,0
1721,1733,108
1721,2466,0
1722,1715,480
1722,1723,207
1722,1724,108
1722,1935,136
1722,2460,480
1722,2467,0
1722,2468,220
1722,2469,108
1722,1166840,180
1722,1166841,180
1723,1686,90
1723,1715,480
1723,1722,207
1723,1724,141
1723,2460,480
1723,2467,263
1723,2468,0
1723,2469,149
1723,1166840,180
1723,1166841,180
1724,1715,480
1724,1722,108
1724,1723,141
1724,1858,128
1724,2460,480
1724,2467,118
1724,2468,131
